utc,filter,pm,lat,lon,device
1405627996,,0.006,37.804135,-122.299823333,A
1405627997,,0.006,37.8041333333,-122.299803333,A
1405627998,,0.006,37.8041333333,-122.299781667,A
1405627999,,0.006,37.8041283333,-122.299763333,A
1405628000,,0.006,37.804135,-122.299765,A
1405628001,,0.007,37.8041416667,-122.299766667,A
1405628002,,0.007,37.8041433333,-122.299756667,A
1405628003,,0.006,37.80415,-122.299756667,A
1405628004,,0.006,37.8041583333,-122.299743333,A
1405628005,,0.006,37.804175,-122.29975,A
1405628006,,0.005,37.8041883333,-122.299753333,A
1405628007,,0.005,37.8041933333,-122.299758333,A
1405628008,,0.005,37.8042183333,-122.299756667,A
1405628009,,0.005,37.8042366667,-122.299758333,A
1405628010,,0.006,37.8042366667,-122.299763333,A
1405628011,,0.006,37.804245,-122.299758333,A
1405628012,,0.005,37.8042566667,-122.299743333,A
1405628013,,0.006,37.804265,-122.299738333,A
1405628014,,0.005,37.8042816667,-122.299738333,A
1405628015,,0.005,37.8042983333,-122.29974,A
1405628016,,0.005,37.80431,-122.29974,A
1405628017,,0.005,37.80433,-122.299733333,A
1405628018,,0.005,37.8043416667,-122.299731667,A
1405628019,,0.005,37.8043533333,-122.299728333,A
1405628020,,0.005,37.80436,-122.299715,A
1405628021,,0.005,37.8043716667,-122.2997,A
1405628022,,0.005,37.8043783333,-122.299683333,A
1405628023,,0.005,37.8043983333,-122.299671667,A
1405628024,,0.005,37.8044166667,-122.299656667,A
1405628025,,0.005,37.8044183333,-122.299651667,A
1405628026,,0.005,37.8044366667,-122.299631667,A
1405628027,,0.005,37.8044433333,-122.299621667,A
1405628028,,0.005,37.8044483333,-122.299611667,A
1405628029,,0.005,37.8044483333,-122.299603333,A
1405628030,,0.005,37.8044533333,-122.299595,A
1405628031,,0.005,37.80445,-122.2996,A
1405628032,,0.005,37.8044566667,-122.299591667,A
1405628033,,0.005,37.8044616667,-122.299583333,A
1405628034,,0.006,37.8044583333,-122.299585,A
1405628035,,0.005,37.80446,-122.299588333,A
1405628036,,0.005,37.804465,-122.299583333,A
1405628037,,0.005,37.8044716667,-122.299578333,A
1405628038,,0.005,37.8044833333,-122.299585,A
1405628039,,0.004,37.8044933333,-122.299578333,A
1405628040,,0.005,37.804505,-122.299566667,A
1405628041,,0.005,37.8045166667,-122.299561667,A
1405628042,,0.005,37.8045166667,-122.299566667,A
1405628043,,0.005,37.80451,-122.29957,A
1405628044,,0.005,37.8045,-122.29957,A
1405628045,,0.005,37.8045,-122.299565,A
1405628046,,0.005,37.8044983333,-122.299561667,A
1405628047,,0.005,37.8045033333,-122.299568333,A
1405628048,,0.005,37.8044966667,-122.299565,A
1405628049,,0.005,37.8044966667,-122.299571667,A
1405628050,,0.005,37.8044966667,-122.299563333,A
1405628051,,0.005,37.8045016667,-122.29956,A
1405628052,,0.005,37.8044966667,-122.299563333,A
1405628053,,0.004,37.804495,-122.299565,A
1405628054,,0.005,37.8044983333,-122.299553333,A
1405628055,,0.005,37.8045,-122.299543333,A
1405628056,,0.005,37.8045133333,-122.299545,A
1405628057,,0.005,37.8045183333,-122.29954,A
1405628058,,0.006,37.8045233333,-122.299535,A
1405628059,,0.006,37.8045283333,-122.29954,A
1405628060,,0.006,37.8045383333,-122.299538333,A
1405628061,,0.005,37.8045516667,-122.299535,A
1405628062,,0.005,37.804555,-122.299531667,A
1405628063,,0.005,37.8045666667,-122.29952,A
1405628064,,0.005,37.8045783333,-122.299508333,A
1405628065,,0.005,37.8045933333,-122.2995,A
1405628066,,0.005,37.80461,-122.29949,A
1405628067,,0.005,37.8046216667,-122.29948,A
1405628068,,0.006,37.804635,-122.299471667,A
1405628069,,0.006,37.804655,-122.299461667,A
1405628070,,0.005,37.8046766667,-122.299451667,A
1405628071,,0.005,37.8046866667,-122.299441667,A
1405628072,,0.005,37.8046966667,-122.299433333,A
1405628073,,0.005,37.8047033333,-122.299426667,A
1405628074,,0.005,37.804715,-122.299416667,A
1405628075,,0.005,37.8047266667,-122.299416667,A
1405628076,,0.007,37.8047333333,-122.299411667,A
1405628077,,0.006,37.8047333333,-122.299408333,A
1405628078,,0.005,37.8047333333,-122.299398333,A
1405628079,,0.005,37.8047383333,-122.299398333,A
1405628080,,0.005,37.8047416667,-122.299395,A
1405628081,,0.005,37.8047366667,-122.29939,A
1405628082,,0.005,37.80474,-122.299383333,A
1405628083,,0.005,37.8047416667,-122.299376667,A
1405628084,,0.005,37.80475,-122.299365,A
1405628085,,0.005,37.8047566667,-122.299355,A
1405628086,,0.005,37.8047583333,-122.299345,A
1405628087,,0.005,37.8047733333,-122.299331667,A
1405628088,,0.006,37.80479,-122.299313333,A
1405628089,,0.005,37.8048066667,-122.299303333,A
